400 760
1,1,2,205
2,1,21,237
3,2,3,30
4,2,22,9
5,3,4,40
6,3,23,47
7,4,5,213
8,4,24,4
9,5,6,19
10,5,25,231
11,6,7,10
12,6,26,14
13,7,8,24
14,7,27,27
15,8,9,21
16,8,28,11
17,9,10,4
18,9,29,5
19,10,11,33
20,10,30,29
21,11,12,25
22,11,31,47
23,12,13,2
24,12,32,39
25,13,14,197
26,13,33,237
27,14,15,241
28,14,34,206
29,15,16,239
30,15,35,237
31,16,17,241
32,16,36,41
33,17,18,48
34,17,37,210
35,18,19,12
36,18,38,6
37,19,20,9
38,19,39,40
39,20,40,200
40,21,22,30
41,21,41,6
42,22,23,48
43,22,42,11
44,23,24,44
45,23,43,12
46,24,25,32
47,24,44,36
48,25,26,28
49,25,45,43
50,26,27,45
51,26,46,25
52,27,28,30
53,27,47,3
54,28,29,241
55,28,48,233
56,29,30,45
57,29,49,230
58,30,31,24
59,30,50,36
60,31,32,217
61,31,51,220
62,32,33,217
63,32,52,203
64,33,34,242
65,33,53,210
66,34,35,216
67,34,54,230
68,35,36,37
69,35,55,14
70,36,37,32
71,36,56,38
72,37,38,201
73,37,57,203
74,38,39,225
75,38,58,242
76,39,40,200
77,39,59,233
78,40,60,38
79,41,42,26
80,41,61,40
81,42,43,38
82,42,62,13
83,43,44,39
84,43,63,16
85,44,45,27
86,44,64,46
87,45,46,46
88,45,65,34
89,46,47,44
90,46,66,25
91,47,48,242
92,47,67,210
93,48,49,227
94,48,68,3
95,49,50,23
96,49,69,30
97,50,51,32
98,50,70,10
99,51,52,209
100,51,71,209
101,52,53,219
102,52,72,30
103,53,54,229
104,53,73,230
105,54,55,24
106,54,74,206
107,55,56,26
108,55,75,15
109,56,57,4
110,56,76,37
111,57,58,230
112,57,77,212
113,58,59,229
114,58,78,234
115,59,60,35
116,59,79,41
117,60,80,22
118,61,62,2
119,61,81,1
120,62,63,7
121,62,82,200
122,63,64,43
123,63,83,4
124,64,65,37
125,64,84,233
126,65,66,45
127,65,85,10
128,66,67,17
129,66,86,32
130,67,68,2
131,67,87,234
132,68,69,15
133,68,88,39
134,69,70,40
135,69,89,13
136,70,71,218
137,70,90,223
138,71,72,6
139,71,91,35
140,72,73,42
141,72,92,28
142,73,74,212
143,73,93,204
144,74,75,204
145,74,94,20
146,75,76,225
147,75,95,222
148,76,77,241
149,76,96,198
150,77,78,241
151,77,97,197
152,78,79,3
153,78,98,212
154,79,80,31
155,79,99,15
156,80,100,9
157,81,82,46
158,81,101,46
159,82,83,41
160,82,102,240
161,83,84,29
162,83,103,27
163,84,85,204
164,84,104,9
165,85,86,237
166,85,105,214
167,86,87,206
168,86,106,24
169,87,88,215
170,87,107,208
171,88,89,205
172,88,108,8
173,89,90,240
174,89,109,42
175,90,91,33
176,90,110,199
177,91,92,20
178,91,111,1
179,92,93,36
180,92,112,5
181,93,94,38
182,93,113,221
183,94,95,13
184,94,114,44
185,95,96,220
186,95,115,221
187,96,97,240
188,96,116,240
189,97,98,203
190,97,117,216
191,98,99,232
192,98,118,221
193,99,100,18
194,99,119,222
195,100,120,21
196,101,102,48
197,101,121,4
198,102,103,241
199,102,122,47
200,103,104,3
201,103,123,21
202,104,105,1
203,104,124,8
204,105,106,24
205,105,125,199
206,106,107,34
207,106,126,26
208,107,108,13
209,107,127,228
210,108,109,9
211,108,128,40
212,109,110,23
213,109,129,4
214,110,111,16
215,110,130,38
216,111,112,15
217,111,131,21
218,112,113,224
219,112,132,243
220,113,114,208
221,113,133,226
222,114,115,239
223,114,134,243
224,115,116,210
225,115,135,36
226,116,117,220
227,116,136,243
228,117,118,221
229,117,137,218
230,118,119,210
231,118,138,218
232,119,120,44
233,119,139,220
234,120,140,8
235,121,122,44
236,121,141,11
237,122,123,3
238,122,142,24
239,123,124,9
240,123,143,14
241,124,125,243
242,124,144,203
243,125,126,32
244,125,145,43
245,126,127,8
246,126,146,30
247,127,128,24
248,127,147,43
249,128,129,27
250,128,148,42
251,129,130,41
252,129,149,1
253,130,131,19
254,130,150,7
255,131,132,30
256,131,151,43
257,132,133,208
258,132,152,5
259,133,134,201
260,133,153,15
261,134,135,9
262,134,154,215
263,135,136,8
264,135,155,44
265,136,137,212
266,136,156,207
267,137,138,197
268,137,157,29
269,138,139,221
270,138,158,47
271,139,140,23
272,139,159,212
273,140,160,49
274,141,142,10
275,141,161,36
276,142,143,11
277,142,162,48
278,143,144,233
279,143,163,36
280,144,145,4
281,144,164,240
282,145,146,6
283,145,165,37
284,146,147,17
285,146,166,233
286,147,148,20
287,147,167,34
288,148,149,222
289,148,168,29
290,149,150,48
291,149,169,241
292,150,151,36
293,150,170,26
294,151,152,49
295,151,171,20
296,152,153,30
297,152,172,3
298,153,154,39
299,153,173,42
300,154,155,232
301,154,174,230
302,155,156,239
303,155,175,43
304,156,157,48
305,156,176,232
306,157,158,17
307,157,177,16
308,158,159,36
309,158,178,49
310,159,160,242
311,159,179,205
312,160,180,41
313,161,162,8
314,161,181,12
315,162,163,18
316,162,182,225
317,163,164,46
318,163,183,45
319,164,165,229
320,164,184,3
321,165,166,231
322,165,185,241
323,166,167,24
324,166,186,206
325,167,168,16
326,167,187,49
327,168,169,28
328,168,188,35
329,169,170,49
330,169,189,240
331,170,171,17
332,170,190,12
333,171,172,29
334,171,191,33
335,172,173,29
336,172,192,40
337,173,174,211
338,173,193,231
339,174,175,32
340,174,194,216
341,175,176,2
342,175,195,4
343,176,177,40
344,176,196,203
345,177,178,45
346,177,197,25
347,178,179,219
348,178,198,227
349,179,180,44
350,179,199,40
351,180,200,35
352,181,182,231
353,181,201,222
354,182,183,240
355,182,202,13
356,183,184,14
357,183,203,214
358,184,185,27
359,184,204,48
360,185,186,204
361,185,205,8
362,186,187,234
363,186,206,198
364,187,188,27
365,187,207,233
366,188,189,17
367,188,208,6
368,189,190,236
369,189,209,36
370,190,191,203
371,190,210,13
372,191,192,22
373,191,211,215
374,192,193,23
375,192,212,28
376,193,194,227
377,193,213,213
378,194,195,234
379,194,214,20
380,195,196,216
381,195,215,32
382,196,197,17
383,196,216,31
384,197,198,45
385,197,217,39
386,198,199,24
387,198,218,24
388,199,200,4
389,199,219,23
390,200,220,19
391,201,202,22
392,201,221,237
393,202,203,43
394,202,222,44
395,203,204,10
396,203,223,225
397,204,205,49
398,204,224,28
399,205,206,2
400,205,225,11
401,206,207,216
402,206,226,214
403,207,208,245
404,207,227,8
405,208,209,22
406,208,228,36
407,209,210,16
408,209,229,44
409,210,211,11
410,210,230,40
411,211,212,31
412,211,231,27
413,212,213,14
414,212,232,1
415,213,214,15
416,213,233,210
417,214,215,20
418,214,234,8
419,215,216,33
420,215,235,27
421,216,217,21
422,216,236,24
423,217,218,10
424,217,237,26
425,218,219,41
426,218,238,16
427,219,220,31
428,219,239,34
